      81     131      19    1964       2       1       0 0050212658     0059038777     0049058087           0  2
      82     166       0    1964       2       1       0 0050212659     0060007265     0000000000           0  3
      83     158      23    1969       2       1       0 0050218655     0060004018     0049060363           0  2
      84       0       0    1967       2       1       0 0050220652     0000000000     0000000000           0  2
      85     117      24    1973       2       1       0 0050220655     0059000505     0049060467           0  4
      86     130    1244    1969       2       1       0 0050220673     0059037160     2099369404           0  3
      87     160      89    1973       2       1       0 0050220674     0060004265     0050220676           0  3
      88     130      63    1971       2       1       0 0050220675     0059037160     0050107965           0  2
      89     130      25    1970       2       1       0 0050220676     0059037160     0049060471           0  3
      90       0       0    1963       2       1       0 0050220680     0000000000     0000000000           0  2
      91     120      12    1959       2       1       0 0050220681     0059000730     0049001837           0  2
      92     160      18    1972       2       1       0 0050220682     0060004265     0049036653           0  2
      93     166      62    1970       2       1       0 0050220792     0060007265     0050090313           0  4
      94     156      59    1970       2       1       0 0050231001     0060003379     0050058294           0  2
      95     157      38    1973       2       1       0 0050255130     0060004015     0049071574           0  3
      96       0       0    1975       2       1       0 0050284035     0000000000     0000000000           0  2
      97     159     276    1979       2       1       0 0050297956     0060004264     0099367495           0  3
      98       0       0    1998       2       1       0 0052027958     0000000000     0000000000           0  2
      99       0       0    2003       2       1       0 0052469344     0000000000     0000000000           0  2
     100       0       0    1905       1       1       0 0058000721     0000000000     0000000000           0  1
     101       0       0       0       1       1       0 0058000982     0000000000     0000000000           0  1
     102       0       0       0       1       1       0 0058001550     0000000000     0000000000           0  1
     103       0       0       0       1       1       0 0058022660     0000000000     0000000000           0  1
     104       0       0       0       1       1       0 0058022707     0000000000     0000000000           0  1
     105       0       0       0       1       1       0 0058022778     0000000000     0000000000           0  1
     106       0       0       0       1       1       0 0058022779     0000000000     0000000000           0  1
     107       0       0       0       1       1       0 0058034840     0000000000     0000000000           0  1
     108       0       0       0       1       1       0 0058034841     0000000000     0000000000           0  1
     109       0       0       0       1       1       0 0058035979     0000000000     0000000000           0  1
     110       0       0       0       1       1       0 0058042864     0000000000     0000000000           0  1
     111       0       0       0       1       1       0 0058043008     0000000000     0000000000           0  1
     112       0       0       0       1       1       0 0058043092     0000000000     0000000000           0  1
